Channel	MinTime
================
0	26.15
1	18.075
2	18.075
3	23.775
4	21.55
5	21.55
6	21.3625
7	21.3625
8	20.6875
9	20.6875
10	21.9125
11	21.9125
12	23.0375
13	22.7375
14	17.8625
15	17.8625
16	8.975
17	8.975
18	17.025
19	17.025
20	15.075
21	15.075
22	20.0625
23	21.85
24	18.125
25	18.125
26	18.45
27	20.9375
28	18.375
29	18.375
30	19.75
31	17.6875
32	17.6875
33	17.5
34	17.5
35	21.45
36	16.9
37	16.9
38	19.4
39	21.0625
40	21.0625
41	20.4125
42	16.9125
43	16.9125
44	22.2
45	22.2
46	21.1375
47	20.675
48	20.675
49	22.35
50	23.25
51	22.325
52	22.325
53	22.325
54	22.325
55	24.025
56	24.9875
57	24.9875
58	20.275
59	20.275
60	27.8375
61	26.825
62	21
63	21
